seri;model;titles;year;km;color;prices;date;location
Cayman;Cayman;TERTEM_Z KUSURSUZ BAY_;2014;83.500;Beyaz;3.250.000 TL;26Mart2023;_stanbul Gaziosmanpa_a
Cayman;Cayman;TERTEM_Z KUSURSUZ BAY_;2014;83.500;Beyaz;3.250.000 TL;26Mart2023;_stanbul Gaziosmanpa_a
Cayman;Cayman;TARGET MOTORS 2014 PORSCHE CAYMAN 2.7 PDK BAY__ HATASIZ;2014;83.500;Beyaz;3.200.000 TL;24Mart2023;_stanbul Be_ikta_
Cayman;Cayman;TERTEM_Z KUSURSUZ BAY_;2014;83.500;Beyaz;3.250.000 TL;26Mart2023;_stanbul Gaziosmanpa_a
Cayman;Cayman;TARGET MOTORS 2014 PORSCHE CAYMAN 2.7 PDK BAY__ HATASIZ;2014;83.500;Beyaz;3.200.000 TL;24Mart2023;_stanbul Be_ikta_
Cayman;Cayman;TERTEM_Z KUSURSUZ BAY_;2014;83.500;Beyaz;3.250.000 TL;26Mart2023;_stanbul Gaziosmanpa_a
Cayman;Cayman;TARGET MOTORS 2014 PORSCHE CAYMAN 2.7 PDK BAY__ HATASIZ;2014;83.500;Beyaz;3.200.000 TL;24Mart2023;_stanbul Be_ikta_
Cayman;Cayman;TERTEM_Z KUSURSUZ BAY_;2014;83.500;Beyaz;3.250.000 TL;26Mart2023;_stanbul Gaziosmanpa_a
Cayman;Cayman;TARGET MOTORS 2014 PORSCHE CAYMAN 2.7 PDK BAY__ HATASIZ;2014;83.500;Beyaz;3.200.000 TL;24Mart2023;_stanbul Be_ikta_
Cayman;Cayman;TERTEM_Z KUSURSUZ BAY_;2014;83.500;Beyaz;3.250.000 TL;26Mart2023;_stanbul Gaziosmanpa_a
Cayman;Cayman;TARGET MOTORS 2014 PORSCHE CAYMAN 2.7 PDK BAY__ HATASIZ;2014;83.500;Beyaz;3.200.000 TL;24Mart2023;_stanbul Be_ikta_
911;Carrera 4S;RAIN CAR DAN PORSCHE CARRERA 4S CABRIO CHRONO HATASIZ;2013;83.300;Beyaz;6.989.000 TL;11Nisan2023;_stanbul Ata_ehir
911;Carrera 4S;RAIN CAR DAN PORSCHE CARRERA 4S CABRIO CHRONO HATASIZ;2013;83.300;Beyaz;6.989.000 TL;11Nisan2023;_stanbul Ata_ehir
911;Carrera 4S;RAIN CAR DAN PORSCHE CARRERA 4S CABRIO CHRONO HATASIZ;2013;83.300;Beyaz;6.989.000 TL;11Nisan2023;_stanbul Ata_ehir
911;Carrera 4S;RAIN CAR DAN PORSCHE CARRERA 4S CABRIO CHRONO HATASIZ;2013;83.300;Beyaz;6.989.000 TL;11Nisan2023;_stanbul Ata_ehir
