seri,model,titles,year,km,color,prices,date,"seri,model,titles,year,km,color,prices,date,location,""seri,model,titles,year,km,color,prices,date,location""",Il,Ilce,id,km_median,km / median
911,Targa 4 GTS,EDITION-2022 TARGA 4 GTS/LİFT/CARBON/ARKA AKS/SOĞUTMA/FULL,2022,6001,Beyaz,16500000,24/04/2023,,İstanbul,Bakırköy,40,1001.0,5.995004995004995
Taycan,4S Performance Plus,Vosmer Bornova Ocak 2023 çıkışlı,2022,81,Lacivert,8650000,23/04/2023,,İzmir,Kemalpaşa,41,1001.0,0.08091908091908091
Taycan,4S Performance,NARİN'DEN 2020 PORSCHE TAYCAN 4S PERFORMANCE CHRONO BAYİ ÇIKIŞLI,2020,8992,Siyah,5250000,23/04/2023,,İstanbul,Beşiktaş,40,260.0,34.58461538461538
Panamera,Panamera 4S Diesel,2017 4S DİESEL-BAYİİ-5­8.000KM-SOĞUTMA -AİRMATİC-ARKA AKS-21''JANT,2017,582,Mavi,9250000,23/04/2023,,Trabzon,Akçaabat,75,850.0,0.6847058823529412
Taycan,4S Performance Plus,''GARDEN'' 2020 GRİ/BEJ BOSE 21'JANT K.ISITMA,2020,3404,Gri,4450000,23/04/2023,,İstanbul,Ataşehir,40,260.0,13.092307692307692
Panamera,Panamera Diesel,BAYİİ ÇIKIŞLI VE KOMPLE SERVİS BAKIMLI ÇİZİK DAHİ YOK,2012,1900,Beyaz,3250000,23/04/2023,,Mardin,Nusaybin,57,1970.0,0.9644670050761421
911,Targa 4,YENİKÖY MOTORS 2012 PORSCHE 911 TARGA 4 - BOSE - EGZOZ,2012,350,Beyaz,4675000,23/04/2023,,İstanbul,Sarıyer,40,1970.0,0.17766497461928935
Panamera,Panamera Diesel,2014 MODEL 21 BİN KM HATASIZ BAYİ ÇIKIŞLI PORSCHE PANAMERA,2014,210,Beyaz,6350000,23/04/2023,,Aydın,Nazilli,11,1420.0,0.14788732394366197
Cayman,Cayman,TARGET MOTORS 2014 PORSCHE CAYMAN 2.7 PDK BAYİİ HATASIZ,2014,835,Beyaz,3200000,23/04/2023,,İstanbul,Beşiktaş,40,1420.0,0.5880281690140845
911,Carrera 4S,PORSCHE 911 CARRERA 4S-BAYİ-BOYASIZ-SO ĞUTMA-CHRONO-BOSE MUSİC-F1,2013,38546,Siyah,7350000,23/04/2023,,Ankara,Çankaya,7,1685.0,22.875964391691394
Taycan,GTS Sport Turismo,GEPARD|2022 NEW TAYCAN GTS SPORT TURISMO 598 HP ÖZEL SİPARİŞ,2022,6001,Kırmızı,9900000,23/04/2023,,İstanbul,Beşiktaş,40,1001.0,5.995004995004995
Boxster,Boxster,1998 131.000 km PORSCHE BOXSTER BAYİ CİFT TENTE ORJNAL TERTEMİZ,1998,1310,Lacivert,900000,23/04/2023,,İstanbul,Bağcılar,40,9988.0,0.13115738886663997
Taycan,Turbo S,FİLOTURK'DEN 2020 TAYCAN TURBO S 761 HP BAYİ ÇIKIŞLI HATASIZ,2020,280,Gri,6750000,23/04/2023,,Gaziantep,Şehitkamil,33,260.0,1.0769230769230769
Taycan,Turbo,- YENİKÖY MOTORS İZMİR - 2020 TAYCAN TURBO - BOSE - 680 HP,2020,0,Beyaz,7450000,23/04/2023,,İzmir,Bayraklı,41,260.0,0.0
Panamera,Panamera 4,Rocco Motors 2011 PANAMERA 4 BOYASIZ 190.000 KM VERGİ BARIŞLI,2011,1900,Beyaz,2650000,23/04/2023,,Ankara,Akyurt,7,1680.0,1.130952380952381
Taycan,Taycan,GARAGE 2021 PORSCHE TAYCAN PERFORMANCE PLUS/BAYİ/HATASIZ,2021,11723,Siyah,4950000,23/04/2023,,İstanbul,Beykoz,40,180.0,65.12777777777778
Taycan,4S,MM MOTORS 2020 PORSCHE TAYCAN 4S 530 HP HATASIZ,2020,260,Gri,5500000,23/04/2023,,İstanbul,Güngören,40,260.0,1.0
Taycan,4S Performance Plus,DOĞUŞ OTO ÇIKIŞLI 2021 MODEL TAYCAN,2021,1675,Gümüş Gri,5400000,23/04/2023,,İstanbul,Büyükçekmece,40,180.0,9.305555555555555
911,Turbo S,''NOVA MOTORS'' 2020 PORSCHE 911 TURBO S / FULL,2020,110,Füme,15950000,23/04/2023,,İstanbul,Beşiktaş,40,260.0,0.4230769230769231
Taycan,4S Performance Plus,YENİKÖY MOTORS 2020 PORSCHE TAYCAN 4S - BOSE - AIRMATIC - CHRONO,2020,0,Gümüş Gri,6100000,23/04/2023,,İstanbul,Sarıyer,40,260.0,0.0
