seri,model,titles,year,km,color,prices,date,Il,Ilce,id,km_median,km / median
Taycan,Turbo S,İLK SAHİBİNDEN 3280 KM HATASIZ TAYCAN TURBO S (ÖZEL RENK),2020,3280,Yeşil,7000000,2023-04-05,İstanbul,Beşiktaş,40,29000.0,0.11310344827586206
Panamera,Panamera Diesel,Yavuz Otodan 2013 Boss Pusula Isıtma Bayi Çık Vakum 170.000 km,2013,175000,Beyaz,3465000,2023-04-05,Balıkesir,Karesi,12,178000.0,0.9831460674157303
Taycan,4S Performance Plus,Sahibinden doğuş çıkışlı kazasız,2020,12450,Siyah,5400000,2023-04-05,İstanbul,Beşiktaş,40,22000.0,0.5659090909090909
Panamera,Panamera 4S Diesel,2016 HATASIZ/BOYASIZ/ HASAR KAYITSIZ SERVİS BAKIMLI 119 BİN KM,2016,119000,Siyah,8650000,2023-04-05,Ankara,Akyurt,7,73000.0,1.63013698630137
Taycan,4S Performance Plus,ETİLERMOTORS-TAYCAN 4S-PERF.PLUS-BU­RMESTER-SOĞUTM­A-CHRONO-BOYASZ,2021,12600,Gri,5690000,2023-04-05,İstanbul,Beşiktaş,40,25000.0,0.504
Panamera,Panamera Diesel,2012 MODEL MASRAFSIZ DİZEL MARSALA PANAMERA,2012,244000,Beyaz,2525000,2023-04-05,İzmir,Buca,41,205000.0,1.1902439024390243
Panamera,Panamera 4,DECIDER'DAN BAYİ 2011 PORSCHE PANAMERA 4 45.000 KM,2011,45000,Siyah,3685000,2023-04-05,İstanbul,Sarıyer,40,170000.0,0.2647058823529412
Panamera,Panamera 4 Sport Turismo,SS MOTORS BAYİ 2019 PANAMERA4 SPORT TURISMO-MASAJ-­SOĞUTMA-%18KDV,2019,6250,Füme,8750000,2023-04-05,İstanbul,Şişli,40,45432.5,0.1375667198591317
718,Boxster,HANCAR MOTORS -718 BOXSTER-20'J­ANT-ADAPTİF FAR-NAVİGSY­ON-ORJİNAL,2016,48500,Mavi,3750000,2023-04-05,İstanbul,Bahçelievler,40,46000.0,1.0543478260869565
Panamera,Panamera 4S,EVRENSEL MOTORS// 2012 PORSCHE PANAMERA 4S CHRONO // 140.000KM,2012,140000,Lacivert,3950000,2023-04-05,Ankara,Gölbaşı,7,140000.0,1.0
Cayman,Cayman,ETİLERMOTORS-BAYİ CAYMAN-ISITMA-SES SİSTEMİ-PARKSENSÖRÜ,2007,110000,Gri,1550000,2023-04-05,İstanbul,Beşiktaş,40,96000.0,1.1458333333333333
Taycan,4S Performance Plus,2022 Porsche Taycan 4S Performance Plus 571 Ps Bayi Yetkili Bayi,2022,6420,Gri,7170000,2023-04-05,Aydın,Söke,11,9384.0,0.6841432225063938
Panamera,Panamera Diesel,AUTO BAYRAM'DAN PORSCHE PANEMARA 300 HP TAM ÖTV HATASIZ 2012,2012,185000,Siyah,3500000,2023-04-05,Konya,Karatay,53,205000.0,0.9024390243902439
